model_id,provider_tag,organization,endpoint_id,from_at,to_at,direction,before,after
moonshotai/kimi-k2.5,cloudflare,Cloudflare,ff70a65f-b74c-4b1e-9a0a-7feb0dc196e3,2026-04-22T00:00:00.000Z,2026-04-23T00:00:00.000Z,metered,,1E-7
nvidia/nemotron-3-super-120b-a12b,deepinfra/bf16,DeepInfra,b893e351-21c8-4215-8f36-c761298acf9e,2026-04-22T00:00:00.000Z,2026-04-23T00:00:00.000Z,unmetered,1E-7,
google/gemma-4-26b-a4b-it,deepinfra/fp8,DeepInfra,d71c6981-347d-4622-a86b-2c9e5d0f2c6c,2026-04-22T00:00:00.000Z,2026-04-23T00:00:00.000Z,unmetered,1E-8,
google/gemma-4-31b-it,deepinfra/fp8,DeepInfra,4149ab03-3b69-45a0-b94c-6c253b8641a1,2026-04-22T00:00:00.000Z,2026-04-23T00:00:00.000Z,unmetered,1.99999995E-8,
qwen/qwen3.5-122b-a10b,deepinfra/fp8,DeepInfra,f395019a-ac5f-400a-a905-2855ec8cf355,2026-05-13T00:00:00.000Z,2026-05-14T00:00:00.000Z,unmetered,1.45E-7,
qwen/qwen3.5-397b-a17b,morph,Morph,59c5a084-f7c1-48f6-a685-eedb1e5ff64a,2026-05-14T00:00:00.000Z,2026-05-15T00:00:00.000Z,metered,,3E-7
qwen/qwen3.7-max,alibaba,Alibaba,6d30fdc6-f2a7-4bdf-b6ba-32353496d723,2026-05-26T00:00:00.000Z,2026-05-27T00:00:00.000Z,metered,,2.5E-7
z-ai/glm-4.5-air,io-net/fp8,Io Net,123165e2-fc70-4b70-8694-6708ce153fc0,2026-05-28T00:00:00.000Z,2026-05-29T00:00:00.000Z,metered,,6E-8
google/gemma-4-31b-it,venice/bf16,Venice,29b94af5-d8f8-419a-9cf1-ae1f2831142b,2026-06-05T00:00:00.000Z,2026-06-06T00:00:00.000Z,metered,,9E-8
z-ai/glm-5.1,together,Together,0a3f7e48-cd4f-4fcf-88dd-3ab61bb5e7d1,2026-06-11T00:00:00.000Z,2026-06-12T00:00:00.000Z,metered,,2.6E-7
qwen/qwen3.5-397b-a17b,together,Together,63d2c1bf-b035-4900-bf46-865ec46d7102,2026-06-11T00:00:00.000Z,2026-06-12T00:00:00.000Z,metered,,3.5E-7
google/gemma-4-31b-it,phala,Phala,af46eefa-11fd-4553-be5a-8289a835144e,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,7.5E-8
moonshotai/kimi-k2.5,phala,Phala,84574054-5d03-4b0a-bf3d-8d52d056d13e,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,2.2E-7
google/gemma-3-27b-it,phala,Phala,1d5251f0-02fd-484b-bb6c-d346277c8a0d,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,7.5E-8
z-ai/glm-5.1,phala,Phala,821c357a-76d4-4ec0-a0fa-0740d54aefec,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,6E-7
qwen/qwen3.5-397b-a17b,phala,Phala,e155a95a-b7c2-491a-ad31-569e34a1e537,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,2.25E-7
moonshotai/kimi-k2.6,phala,Phala,bb5de010-8234-4abb-b511-025d1817134a,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,3.7E-7
z-ai/glm-5,phala,Phala,41cdd1f2-4c82-432e-b0ea-8f21ca0bc88f,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,4.75E-7
minimax/minimax-m2.5,phala,Phala,36b1f8f9-cf48-43e9-881b-aad71f4f22c8,2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z,metered,,7.5E-8
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2026-06-17T00:00:00.000Z,2026-06-18T00:00:00.000Z,metered,,1E-7
